,obj,marina,anieke
1241,ZF5802-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1245,ZF5802-Globorotalia-tumida_obj00012_plane000.jpg,change,correct
1246,ZF5803-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1251,ZF5803-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1253,ZF5803-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1255,ZF5803-Globorotalia-tumida_obj00010_plane000.jpg,change,correct
1263,ZF5804-Globorotalia-tumida_obj00007_plane000.jpg,change,correct
1266,ZF5804-Globorotalia-tumida_obj00010_plane000.jpg,remove,correct
1269,ZF5804-Globorotalia-tumida_obj00013_plane000.jpg,remove,correct
1270,ZF5804-Globorotalia-tumida_obj00014_plane000.jpg,change,correct
1274,ZF5805-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1275,ZF5805-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1279,ZF5806-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1282,ZF5806-Globorotalia-tumida_obj00007_plane000.jpg,change,correct
1283,ZF5806-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1287,ZF5807-Globorotalia-tumida_obj00003_plane000.jpg,remove,correct
1288,ZF5807-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1293,ZF5807-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1296,ZF5807-Globorotalia-tumida_obj00012_plane000.jpg,change,correct
1299,ZF5808-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1300,ZF5808-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1301,ZF5808-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1305,ZF5808-Globorotalia-tumida_obj00007_plane000.jpg,change,correct
1314,ZF5808-Globorotalia-tumida_obj00016_plane000.jpg,remove,correct
1317,ZF5809-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1325,ZF5809-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1330,ZF5810-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1332,ZF5810-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1335,ZF5810-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1339,ZF5810-Globorotalia-tumida_obj00012_plane000.jpg,change,correct
1340,ZF5810-Globorotalia-tumida_obj00013_plane000.jpg,change,correct
1341,ZF5811-Globorotalia-tumida_obj00001_plane000.jpg,remove,correct
1342,ZF5811-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1344,ZF5811-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1345,ZF5811-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1346,ZF5811-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1348,ZF5811-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1349,ZF5811-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1351,ZF5811-Globorotalia-tumida_obj00011_plane000.jpg,change,correct
1352,ZF5811-Globorotalia-tumida_obj00012_plane000.jpg,remove,correct
1353,ZF5812-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1354,ZF5812-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1356,ZF5812-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1357,ZF5812-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1362,ZF5812-Globorotalia-tumida_obj00010_plane000.jpg,change,correct
1363,ZF5812-Globorotalia-tumida_obj00011_plane000.jpg,change,correct
1368,ZF5812-Globorotalia-tumida_obj00016_plane000.jpg,remove,correct
1371,ZF5812-Globorotalia-tumida_obj00019_plane000.jpg,change,correct
1376,ZF5812-Globorotalia-tumida_obj00024_plane000.jpg,change,correct
1377,ZF5812-Globorotalia-tumida_obj00025_plane000.jpg,change,correct
1379,ZF5813-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1380,ZF5813-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1382,ZF5813-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1384,ZF5814-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1385,ZF5814-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1386,ZF5814-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1387,ZF5814-Globorotalia-tumida_obj00005_plane000.jpg,remove,correct
1391,ZF5814-Globorotalia-tumida_obj00009_plane000.jpg,change,correct
1392,ZF5814-Globorotalia-tumida_obj00010_plane000.jpg,change,correct
1394,ZF5814-Globorotalia-tumida_obj00012_plane000.jpg,change,correct
1396,ZF5816-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1397,ZF5816-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1398,ZF5816-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1399,ZF5816-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1400,ZF5816-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1403,ZF5818-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1412,ZF5818-Globorotalia-tumida_obj00012_plane000.jpg,change,correct
1413,ZF5818-Globorotalia-tumida_obj00013_plane000.jpg,change,correct
1414,ZF5821-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1415,ZF5821-Globorotalia-tumida_obj00002_plane000.jpg,change,correct
1416,ZF5821-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1417,ZF5821-Globorotalia-tumida_obj00004_plane000.jpg,remove,correct
1421,ZF5821-Globorotalia-tumida_obj00008_plane000.jpg,change,correct
1422,ZF5822-Globorotalia-tumida_obj00001_plane000.jpg,change,correct
1424,ZF5822-Globorotalia-tumida_obj00003_plane000.jpg,change,correct
1425,ZF5822-Globorotalia-tumida_obj00004_plane000.jpg,change,correct
1426,ZF5822-Globorotalia-tumida_obj00005_plane000.jpg,change,correct
1427,ZF5822-Globorotalia-tumida_obj00006_plane000.jpg,change,correct
1450,ZF5824-Globorotalia-truncatulinoides_obj00003_plane000.jpg,correct,change
1451,ZF5824-Globorotalia-truncatulinoides_obj00004_plane000.jpg,correct,change
1460,ZF5825-Globorotalia-truncatulinoides_obj00001_plane000.jpg,change,correct
1464,ZF5825-Globorotalia-truncatulinoides_obj00005_plane000.jpg,change,correct
1467,ZF5825-Globorotalia-truncatulinoides_obj00008_plane000.jpg,correct,change
1469,ZF5825-Globorotalia-truncatulinoides_obj00010_plane000.jpg,remove,change
1472,ZF5825-Globorotalia-truncatulinoides_obj00013_plane000.jpg,change,correct
1488,ZF5829-Globorotalia-truncatulinoides_obj00004_plane000.jpg,change,correct
1492,ZF5829-Globorotalia-truncatulinoides_obj00008_plane000.jpg,remove,correct
1496,ZF5829-Globorotalia-truncatulinoides_obj00012_plane000.jpg,correct,change
1497,ZF5829-Globorotalia-truncatulinoides_obj00013_plane000.jpg,correct,change
1499,ZF5829-Globorotalia-truncatulinoides_obj00015_plane000.jpg,correct,change
1500,ZF5829-Globorotalia-truncatulinoides_obj00016_plane000.jpg,correct,change
1502,ZF5829-Globorotalia-truncatulinoides_obj00018_plane000.jpg,correct,change
1506,ZF5829-Globorotalia-truncatulinoides_obj00022_plane000.jpg,correct,change
1507,ZF5829-Globorotalia-truncatulinoides_obj00023_plane000.jpg,remove,correct
1508,ZF5829-Globorotalia-truncatulinoides_obj00024_plane000.jpg,remove,correct
1509,ZF5829-Globorotalia-truncatulinoides_obj00025_plane000.jpg,correct,change
1510,ZF5829-Globorotalia-truncatulinoides_obj00026_plane000.jpg,correct,change
1511,ZF5829-Globorotalia-truncatulinoides_obj00027_plane000.jpg,correct,change
1512,ZF5829-Globorotalia-truncatulinoides_obj00028_plane000.jpg,correct,change
1513,ZF5829-Globorotalia-truncatulinoides_obj00029_plane000.jpg,correct,change
1514,ZF5829-Globorotalia-truncatulinoides_obj00030_plane000.jpg,correct,change
1515,ZF5829-Globorotalia-truncatulinoides_obj00031_plane000.jpg,correct,change
1516,ZF5829-Globorotalia-truncatulinoides_obj00032_plane000.jpg,correct,change
1517,ZF5829-Globorotalia-truncatulinoides_obj00033_plane000.jpg,correct,change
1518,ZF5829-Globorotalia-truncatulinoides_obj00034_plane000.jpg,correct,change
1519,ZF5829-Globorotalia-truncatulinoides_obj00035_plane000.jpg,correct,change
1520,ZF5829-Globorotalia-truncatulinoides_obj00036_plane000.jpg,correct,change
1521,ZF5829-Globorotalia-truncatulinoides_obj00037_plane000.jpg,correct,change
1522,ZF5829-Globorotalia-truncatulinoides_obj00038_plane000.jpg,correct,change
1524,ZF5829-Globorotalia-truncatulinoides_obj00040_plane000.jpg,correct,change
1527,ZF5829-Globorotalia-truncatulinoides_obj00043_plane000.jpg,correct,change
1530,ZF5829-Globorotalia-truncatulinoides_obj00046_plane000.jpg,correct,change
1531,ZF5829-Globorotalia-truncatulinoides_obj00047_plane000.jpg,correct,change
1532,ZF5829-Globorotalia-truncatulinoides_obj00048_plane000.jpg,correct,change
1534,ZF5829-Globorotalia-truncatulinoides_obj00050_plane000.jpg,correct,change
1539,ZF5830-Globorotalia-truncatulinoides_obj00005_plane000.jpg,correct,change
1540,ZF5830-Globorotalia-truncatulinoides_obj00006_plane000.jpg,correct,change
1541,ZF5830-Globorotalia-truncatulinoides_obj00007_plane000.jpg,correct,change
1542,ZF5830-Globorotalia-truncatulinoides_obj00008_plane000.jpg,correct,change
1543,ZF5830-Globorotalia-truncatulinoides_obj00009_plane000.jpg,correct,change
1544,ZF5830-Globorotalia-truncatulinoides_obj00010_plane000.jpg,correct,change
1545,ZF5830-Globorotalia-truncatulinoides_obj00011_plane000.jpg,correct,change
